feature_id,fileid,uid,sample_id,collection_date,cec,oc,om,potential_h,ca_k_ratio,ca_mg_ratio,mg_k_ratio,sand,sample_depth_min,p,ca_saturation,base_saturation,al_saturation_without_h,mg_saturation,h_and_al_cation,silt,mg,al_3_cation,ca,k_saturation,clay,k,sample_depth_max,s,clay_s,silt_s,sand_s,clay_p,silt_p,sand_p,ph,field_id,loc_field,field,farm,crop,buffer_ph,soluble_salts,excess_lime,nitrate_direct_2n_kcl,no3_direct_2n_kcl_lbs_acre,kcl_ammonium_direct,ammonium_direct_lbs_acre,p_mehlich_3_icap,zinc,iron,manganese,copper,sodium,boron,hsat,nasat,texture,bdepth,edepth,lon,lat,geom,data_source
{00926517-49df-4409-990f-f28749fb966d},5a59a254-bca1-4dc7-983c-d9d818711503,0_5a59a254-bca1-4dc7-983c-d9d818711503,1,2020-02-18,6.89,,19.98,,,,,,,,,,,,,,,,,,,,,,16.1,54.7,29.2,0.0,0.0,0.0,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.69698777067735 43.224195908441),geocarta
{00926517-49df-4409-990f-f28749fb966d},5a59a254-bca1-4dc7-983c-d9d818711503,1_5a59a254-bca1-4dc7-983c-d9d818711503,2,2020-02-18,7.62,,20.48,,,,,,,,,,,,,,,,,,,,,,15.6,49.7,34.7,0.0,0.0,0.0,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.69634711127049 43.2288349740591),geocarta
{00926517-49df-4409-990f-f28749fb966d},5a59a254-bca1-4dc7-983c-d9d818711503,2_5a59a254-bca1-4dc7-983c-d9d818711503,3,2020-02-18,4.97,,13.1,,,,,,,,,,,,,,,,,,,,,,13.4,52.1,34.4,0.0,0.0,0.0,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.69532525413573 43.2282470297936),geocarta
{00926517-49df-4409-990f-f28749fb966d},5a59a254-bca1-4dc7-983c-d9d818711503,3_5a59a254-bca1-4dc7-983c-d9d818711503,4,2020-02-18,7.35,,18.74,,,,,,,,,,,,,,,,,,,,,,14.2,57.6,28.3,0.0,0.0,0.0,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.70011703294362 43.2252760453693),geocarta
{00926517-49df-4409-990f-f28749fb966d},5a59a254-bca1-4dc7-983c-d9d818711503,4_5a59a254-bca1-4dc7-983c-d9d818711503,5,2020-02-18,6.65,,17.2,,,,,,,,,,,,,,,,,,,,,,15.5,56.0,28.5,0.0,0.0,0.0,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.70345214762533 43.223621035325),geocarta
{00926517-49df-4409-990f-f28749fb966d},5a59a254-bca1-4dc7-983c-d9d818711503,5_5a59a254-bca1-4dc7-983c-d9d818711503,6,2020-02-18,6.34,,17.09,,,,,,,,,,,,,,,,,,,,,,14.0,57.4,28.6,0.0,0.0,0.0,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.69233065051972 43.2208650905932),geocarta
{00926517-49df-4409-990f-f28749fb966d},5a59a254-bca1-4dc7-983c-d9d818711503,6_5a59a254-bca1-4dc7-983c-d9d818711503,7,2020-02-18,5.28,,16,,,,,,,,,,,,,,,,,,,,,,13.4,58.5,28.1,0.0,0.0,0.0,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.69419254247579 43.2236237566674),geocarta
{00926517-49df-4409-990f-f28749fb966d},5a59a254-bca1-4dc7-983c-d9d818711503,7_5a59a254-bca1-4dc7-983c-d9d818711503,8,2020-02-18,6.94,,21.73,,,,,,,,,,,,,,,,,,,,,,13.6,55.3,31.1,0.0,0.0,0.0,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.6891560875519 43.2242144792838),geocarta
