feature_id,fileid,uid,sample_id,collection_date,cec,oc,om,potential_h,ca_k_ratio,ca_mg_ratio,mg_k_ratio,sand,sample_depth_min,p,ca_saturation,base_saturation,al_saturation_without_h,mg_saturation,h_and_al_cation,silt,mg,al_3_cation,ca,k_saturation,clay,k,sample_depth_max,s,clay_s,silt_s,sand_s,clay_p,silt_p,sand_p,ph,field_id,loc_field,field,farm,crop,buffer_ph,soluble_salts,excess_lime,nitrate_direct_2n_kcl,no3_direct_2n_kcl_lbs_acre,kcl_ammonium_direct,ammonium_direct_lbs_acre,p_mehlich_3_icap,zinc,iron,manganese,copper,sodium,boron,hsat,nasat,texture,bdepth,edepth,lon,lat,geom,data_source
{00a909ce-f5ad-4d4c-ab91-bb4c60b70452},SCEA_DES_AGUIARDS_3_PONTS,125_SCEA_DES_AGUIARDS_3_PONTS,1,2018-12-08,5.34,,32.04,,,,,,,,,,,,,,,,,,,,,,2.5,3.7,93.8,0.0,0.0,0.0,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.908354566664257 44.106042944146),geocarta
{00a909ce-f5ad-4d4c-ab91-bb4c60b70452},SCEA_DES_AGUIARDS_3_PONTS,126_SCEA_DES_AGUIARDS_3_PONTS,2,2018-12-08,5.89,,36.17,,,,,,,,,,,,,,,,,,,,,,2.0,3.4,94.6,0.0,0.0,0.0,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.910508814272056 44.1101518013704),geocarta
{00a909ce-f5ad-4d4c-ab91-bb4c60b70452},SCEA_DES_AGUIARDS_3_PONTS,127_SCEA_DES_AGUIARDS_3_PONTS,3,2018-12-08,3.64,,22.71,,,,,,,,,,,,,,,,,,,,,,2.2,4.0,93.8,0.0,0.0,0.0,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.911088757098854 44.1022036296635),geocarta
{00a909ce-f5ad-4d4c-ab91-bb4c60b70452},SCEA_DES_AGUIARDS_3_PONTS,128_SCEA_DES_AGUIARDS_3_PONTS,4,2018-12-08,5.36,,30.9,,,,,,,,,,,,,,,,,,,,,,2.6,4.1,93.3,0.0,0.0,0.0,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.9087275524952 44.1062716674845),geocarta
{00a909ce-f5ad-4d4c-ab91-bb4c60b70452},SCEA_DES_AGUIARDS_3_PONTS,129_SCEA_DES_AGUIARDS_3_PONTS,5,2018-12-08,4.77,,31.47,,,,,,,,,,,,,,,,,,,,,,2.3,3.9,93.7,0.0,0.0,0.0,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.906095658914867 44.1082891976263),geocarta
{00a909ce-f5ad-4d4c-ab91-bb4c60b70452},SCEA_DES_AGUIARDS_3_PONTS,130_SCEA_DES_AGUIARDS_3_PONTS,6,2018-12-08,4.16,,25.73,,,,,,,,,,,,,,,,,,,,,,4.8,8.0,87.3,0.0,0.0,0.0,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.90927099654142 44.1082326111306),geocarta
{00a909ce-f5ad-4d4c-ab91-bb4c60b70452},SCEA_DES_AGUIARDS_3_PONTS,131_SCEA_DES_AGUIARDS_3_PONTS,7,2018-12-08,6.23,,31.04,,,,,,,,,,,,,,,,,,,,,,2.9,2.5,94.6,0.0,0.0,0.0,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.9089768463547 44.1096555974442),geocarta
{00a909ce-f5ad-4d4c-ab91-bb4c60b70452},SCEA_DES_AGUIARDS_3_PONTS,132_SCEA_DES_AGUIARDS_3_PONTS,8,2018-12-08,5.47,,32.99,,,,,,,,,,,,,,,,,,,,,,3.7,6.4,89.9,0.0,0.0,0.0,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.908543045822901 44.1045556514231),geocarta
